Run,X,Y,Z,Roll,Pitch,Yaw
1,2.30946485,-0.112617808,0.035741387,-9.74142351,-3.560126679,-91.05168578
1,2.303448629,-0.113389456,0.081815184,0.884913972,-1.328798297,-92.14413163
1,2.305486712,-0.090911786,0.103089394,-1.378512409,1.278802961,-91.02284559
1,2.308665713,-0.105181514,0.064892933,-64.48942339,-83.43275765,-27.14209221
1,2.304132762,-0.111409864,0.077563223,-0.395097147,-2.905403683,-90.29908571
1,2.306620113,-0.11285663,0.050625959,-6.964543566,0.830065758,-93.87931875
1,2.301708324,-0.089836757,0.095356069,-1.640530535,-2.869613365,-92.66986448
1,2.303343372,-0.095795453,0.094150112,0.133966068,-1.762317443,-92.19386483
1,2.300587396,-0.093133815,0.091487219,23.78230389,-84.83678322,-112.5831334
1,2.300587396,-0.093133815,0.091487219,23.78230389,-84.83678322,-112.5831334
1,2.296164371,-0.112989273,0.069079858,-1.267882219,-2.149602164,-90.40481787
1,2.304687393,-0.088824009,0.094528248,-0.357120835,-1.321056011,-90.5880052
1,2.300388119,-0.078506533,0.105631262,-1.488300501,-1.383840822,-91.65803498
1,2.297185192,-0.082120472,0.102271038,-2.21018385,-1.774874964,-91.71819831
1,2.276899835,-0.196577587,-0.03503884,-0.004420505,-9.157253865,-88.46663929
1,2.274259264,-0.183862483,-0.024282869,-0.312938607,-8.806635259,-88.18705588
1,2.271990387,-0.17835926,-0.022032721,-1.150311649,-8.240176438,-89.36265561
1,2.272088924,-0.161013645,-0.007168343,1.984619177,-7.654038463,-87.75211086
1,2.269197896,-0.171078234,-0.017015507,-1.294482887,-6.882484571,-88.18595782
1,2.269197896,-0.171078234,-0.017015507,-1.294482887,-6.882484571,-88.18595782
1,2.269325801,-0.173710117,-0.020163716,-0.522289897,-7.706262466,-88.5693366
1,2.264523199,-0.1891913,-0.035987675,1.355064957,-9.420900306,-88.22903039
1,2.263365273,-0.170610611,-0.020272569,-0.140402584,-7.24416909,-87.99084708
1,2.303515492,-0.046468848,0.122875234,-40.14263268,-78.66905303,-56.38202876
1,2.255059934,-0.191834605,-0.043469471,1.050412116,-10.22840025,-86.28117072
1,2.254197255,-0.171350957,-0.024451676,0.629444604,-8.490547426,-87.36707004
1,2.251118945,-0.171519365,-0.026487952,0.632768596,-8.441069218,-88.18293154
1,2.2490491,-0.174520445,-0.03048038,2.155614431,-9.771112328,-86.8610832
1,2.24853977,-0.158387952,-0.014030801,-0.508702208,-6.379900322,-88.37848413
1,2.24853977,-0.158387952,-0.014030801,-0.508702208,-6.379900322,-88.37848413
1,2.301077255,-0.050451312,0.114417376,0.707191364,-3.752443944,-87.35562512
1,2.304030137,-0.067832039,0.103414255,-56.27967925,-66.03657268,-50.9706928
1,2.299036695,-0.069821859,0.106136952,-0.940746962,0.543858136,-91.86156795
1,2.298553567,-0.054882967,0.125362694,1.564749463,-1.20502752,-90.23019263
1,2.29469476,-0.054808279,0.11204309,1.428933377,-4.51861887,-87.45516285
1,2.290307065,-0.067122914,0.115201672,1.066139294,-2.111262863,-91.80793973
1,2.302033737,-0.042802867,0.122934341,1.915825179,-3.153232952,-86.31945095
1,2.300949076,-0.035491955,0.13804251,3.632412825,-6.100462484,-86.25456732
1,2.29216886,-0.062831004,0.115335472,2.103181403,-4.37636041,-89.80666016
1,2.29216886,-0.062831004,0.115335472,2.103181403,-4.37636041,-89.80666016
1,2.305733562,-0.033425693,0.151509164,1.375505358,-0.904236802,-89.93327673
1,2.291548642,-0.057993752,0.10940641,-63.54318017,-62.00683598,-49.49909419
1,2.29369348,-0.044614213,0.119420101,-62.9633961,-63.91146036,-47.81037804
1,2.293411396,-0.054750901,0.122061514,0.921938352,-3.592914272,-89.48232805
1,2.291109637,-0.065277718,0.103243137,0.34020947,-1.740196306,-90.62567438
1,2.29439604,-0.047286848,0.118024519,-60.93929909,-60.26282425,-53.58208038
1,2.306393746,-0.029303038,0.14835079,3.087799009,-2.9850959,-87.62880164
1,2.303175619,-0.038991329,0.128056219,-61.46265546,-54.98756245,-55.66045352
1,2.290946709,-0.04461825,0.118554895,-62.21643814,-56.32012072,-55.23328244
1,2.305890938,-0.034237421,0.13575174,1.735406956,-1.807680303,-87.5745835
1,2.305890938,-0.034237421,0.13575174,1.735406956,-1.807680303,-87.5745835
1,2.299389598,-0.038888192,0.128758179,2.703933135,-4.151431041,-86.5142773
1,2.295176159,-0.036050664,0.133293791,2.061822488,-4.371944268,-87.11327082
